subject_key,predicate_key,object_key,confidence,provenance_type,status
creator:asmongold,broader,hub:games_play,1.0,curated,active
creator:kripparrian,broader,hub:games_play,1.0,curated,active
creator:pewdiepie,broader,hub:games_play,1.0,curated,active
creator:professor_dave_explains,broader,hub:ideas_learning,1.0,curated,active
creator:medicosis_perfectionalis,broader,hub:ideas_learning,1.0,curated,active
creator:statquest,broader,hub:ideas_learning,1.0,curated,active
creator:steve_brunton,broader,hub:ideas_learning,1.0,curated,active
creator:ritvikmath,broader,hub:ideas_learning,1.0,curated,active
creator:pansci,broader,hub:ideas_learning,1.0,curated,active
creator:learn_french_with_alexa,broader,hub:ideas_learning,1.0,curated,active
creator:cbs_news,broader,hub:news_current_affairs,1.0,curated,active
creator:onion_man,broader,hub:film_video,1.0,curated,active
creator:howfun,broader,hub:film_video,1.0,curated,active
creator:fanzheng_wo_hen_xian,broader,hub:film_video,1.0,curated,active
creator:jyp_entertainment,broader,hub:music,1.0,curated,active
creator:marasy8,broader,hub:music,1.0,curated,active
creator:channel_miyawaki_sakura,broader,hub:music,1.0,curated,active
