concept_key,alias,locale,alias_type,confidence
creator:kim_chaewon,Kim Chaewon,en,preferred,1.0
creator:kim_chaewon,kimchaewon,en,alternate,1.0
creator:kim_chaewon,chaewon,en,alternate,1.0
creator:kim_chaewon,김채원,ko,alternate,1.0
creator:kazuha,Kazuha,en,preferred,1.0
creator:kazuha,kazuha,en,alternate,1.0
creator:kazuha,카즈하,ko,alternate,1.0
creator:hong_eunchae,Hong Eunchae,en,preferred,1.0
creator:hong_eunchae,hongeunchae,en,alternate,1.0
creator:hong_eunchae,eunchae,en,alternate,1.0
creator:ahyeon,Ahyeon,en,preferred,1.0
creator:ahyeon,ahyeon,en,alternate,1.0
creator:ruka,Ruka,en,preferred,1.0
creator:ruka,ruka,en,alternate,1.0
creator:chiquita,Chiquita,en,preferred,1.0
creator:chiquita,chiquita,en,alternate,1.0
creator:asa,Asa,en,preferred,1.0
creator:asa,asa,en,alternate,1.0
creator:le_sserafim,르세라핌,ko,alternate,1.0
creator:le_sserafim,le_sserafim,en,alternate,1.0
creator:le_sserafim,lesserafim,en,alternate,1.0
creator:babymonster,베이비몬스터,ko,alternate,1.0
creator:babymonster,babymonster,en,alternate,1.0
creator:ive,아이브,ko,alternate,1.0
creator:aespa,에스파,ko,alternate,1.0
creator:twice,트와이스,ko,alternate,1.0
creator:newjeans,뉴진스,ko,alternate,1.0
