hub,local_hub,example_or_third_level
music,genre,
music,performer,
music,composer,
music,live performance,
music,celebrity gossip,
music,fan art,
movie/tv,genre,
movie/tv,actor,
movie/tv,director,
movie/tv,celebrity gossip,
sport,work out,
sport,professional athletes,
gaming,console,genre
gaming,pc,genre
food,cooking,
food,baking,
food,restaurants,
food,wine tasting,
pets,type of pets,
pets,pet store,
pets,pet personality,
pets,pet illness,
childhood,hometown,
childhood,family structure,"parents, siblings"
book,genre,
book,specific series,
book,author,
podcast,genre,
podcast,host,
podcast,show,
education,college life,
education,masters life,
education,PhD life,
work,different career,
plans,short term plan,
plans,long term plan,
plans,career plan,
plans,relationship plan,
travel,countries/cities visited,
travel,countries/cities wanted,
language,native language,
language,language wanted,
pet peeves,,

