concept_key,alias,locale,alias_type,confidence
creator:pewdiepie,PewDiePie,en,preferred,1.0
creator:jyp_entertainment,JYP Entertainment,en,preferred,1.0
creator:cbs_news,CBS News,en,preferred,1.0
creator:asmongold,Asmongold TV,en,preferred,1.0
creator:asmongold,Asmongold,en,alternate,1.0
creator:professor_dave_explains,Professor Dave Explains,en,preferred,1.0
creator:learn_french_with_alexa,Learn French With Alexa,en,preferred,1.0
creator:cyon,Cyon,en,preferred,1.0
creator:thomas_mulligan,Thomas Mulligan,en,preferred,1.0
creator:marasy8,marasy8,und,preferred,1.0
creator:eunji_pyoapple,표은지Eunji Pyoapple,ko,preferred,1.0
creator:medicosis_perfectionalis,Medicosis Perfectionalis,en,preferred,1.0
creator:statquest,StatQuest with Josh Starmer,en,preferred,1.0
creator:statquest,StatQuest,en,alternate,1.0
creator:xooos,xooos 수스,ko,preferred,1.0
creator:howfun,HowFun,en,preferred,1.0
creator:onion_man,Onion Man,en,preferred,1.0
creator:pansci,PanSci 泛科學,zh,preferred,1.0
creator:pansci,泛科學,zh,alternate,1.0
creator:kripparrian,Kripparrian,en,preferred,1.0
creator:fanzheng_wo_hen_xian,反正我很閒,zh,preferred,1.0
creator:channel_miyawaki_sakura,ちゃんねる宮脇咲良,ja,preferred,1.0
creator:dr_trefor_bazett,Dr. Trefor Bazett,en,preferred,1.0
creator:steve_brunton,Steve Brunton,en,preferred,1.0
creator:ritvikmath,ritvikmath,en,preferred,1.0
creator:i_dle,i-dle (아이들),ko,alternate,1.0
creator:jo_yuri,조유리 JO YURI,ko,alternate,1.0
